ts_utc,user_id,role,lang,mood,text
2025-10-06T13:03:46,demo,assistant,فارسی,,از ۱ تا ۵ الان حالت چطوره؟
2025-10-06T13:03:47,demo,assistant,فارسی,2,گراندینگ ۲ دقیقه‌ای: ۵ چیز که می‌بینی، ۴ چیز که لمس می‌کنی، ۳ صدایی که می‌شنوی، ۲ بویی که حس می‌کنی، ۱ مزه‌ای که می‌چشی.
2025-10-06T13:04:00,demo,assistant,فارسی,3,تنفس جعبه‌ای (۵ بار): ۴ ثانیه دم، ۴ ثانیه نگه‌دار، ۴ ثانیه بازدم، ۴ ثانیه نگه‌دار. شانه‌ها رها.
2025-10-06T13:04:10,demo,assistant,فارسی,2,گراندینگ ۲ دقیقه‌ای: ۵ چیز که می‌بینی، ۴ چیز که لمس می‌کنی، ۳ صدایی که می‌شنوی، ۲ بویی که حس می‌کنی، ۱ مزه‌ای که می‌چشی.
2025-10-06T13:04:25,demo,user,فارسی,2,میز میبینم
2025-10-06T13:04:25,demo,assistant,فارسی,2,گراندینگ ۲ دقیقه‌ای: ۵ چیز که می‌بینی، ۴ چیز که لمس می‌کنی، ۳ صدایی که می‌شنوی، ۲ بویی که حس می‌کنی، ۱ مزه‌ای که می‌چشی.
2025-10-06T13:06:35,demo,assistant,English,3,"Box breathing (×5): inhale 4s, hold 4s, exhale 4s, hold 4s. Keep shoulders relaxed."
2025-10-06T13:06:42,demo,assistant,English,4,Gratitude note: write 3 small wins or tiny nice moments from today.
2025-10-06T13:07:06,demo,assistant,English,,"On a scale of 1–5, how do you feel right now?"
2025-10-06T13:07:09,demo,assistant,English,3,"Box breathing (×5): inhale 4s, hold 4s, exhale 4s, hold 4s. Keep shoulders relaxed."
2025-10-06T13:07:15,demo,assistant,English,5,Gratitude note: write 3 small wins or tiny nice moments from today.
2025-10-06T13:07:23,demo,assistant,English,1,"2-minute grounding: name 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. Ready?"
2025-10-06T13:07:28,demo,assistant,English,2,"2-minute grounding: name 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. Ready?"
2025-10-07T10:09:37,demo,assistant,English,,"On a scale of 1–5, how do you feel right now?"
2025-10-07T10:09:38,demo,assistant,English,2,"2-minute grounding: name 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. Ready?"
2025-10-08T11:54:24,demo,assistant,English,,"On a scale of 1–5, how do you feel right now?"
2025-10-08T11:54:28,demo,assistant,English,2,"2-minute grounding: name 5 things you see, 4 you feel, 3 you hear, 2 you smell, 1 you taste. Ready?"
2025-10-08T11:54:40,demo,assistant,فارسی,3,تنفس جعبه‌ای (۵ بار): ۴ ثانیه دم، ۴ ثانیه نگه‌دار، ۴ ثانیه بازدم، ۴ ثانیه نگه‌دار. شانه‌ها رها.
2025-10-08T11:54:57,demo,user,فارسی,3,میخوام درد و دل کنم باهات
2025-10-08T11:55:02,demo,assistant,فارسی,3,من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  احساساتت مهم هستند و خوب است که درباره‌شان صحبت کنی. می‌خواهی از چه چیزی صحبت کنی؟  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-08T11:55:25,demo,user,فارسی,3,بله میخوام صحبت کنم
2025-10-08T11:55:28,demo,assistant,فارسی,3,من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  خوشحالم که می‌خواهی صحبت کنی. احساساتت را با من در میان بگذار. چه چیزی در ذهنت است؟   • برای آرامش، چند دقیقه در یک جای ساکت بنشین و به نفس‌هایت توجه کن. فقط احساس کن که چگونه نفس‌هایت وارد و خارج می‌شوند.  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-08T11:56:02,demo,user,فارسی,3,من امروز احساس اضطراب دارم
2025-10-08T11:56:06,demo,assistant,فارسی,3,من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  احساس اضطراب می‌تواند طاقت‌فرسا باشد و خوب است که درباره‌اش صحبت کنی. می‌دانی چه چیزی باعث این احساس شده است؟  برای کم کردن اضطراب، چند دقیقه به یک مکان ساکت برو و یک نفس عمیق بکش.   • تمرین تنفس: ۵ بار تنفس عمیق بکش. ۴ ثانیه دم، ۴ ثانیه نگه‌دار، ۴ ثانیه بازدم، ۴ ثانیه نگه‌دار.  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-08T11:56:22,demo,user,فارسی,3,با دوستم بحثم شده
2025-10-08T11:56:26,demo,assistant,فارسی,3,"من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  دردسر با دوستان می‌تواند احساسات شدیدی ایجاد کند و طبیعی است که ناراحت باشی. چه چیزی باعث این بحث شده؟   برای آرامش، می‌توانی یک تمرین ذهن‌آگاهی انجام دهی:  • چند دقیقه در جایی ساکت بنشین و چشمانت را ببند. به نفس‌هایت توجه کن و سعی کن احساساتت را فقط مشاهده کنی، بدون قضاوت.   • سپس به آرامی نفس بکش و به خودت بگو: ""این هم می‌گذرد.""  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار."
2025-10-08T11:57:22,demo,user,فارسی,3,من احساس میکنم عاشق شدم
2025-10-08T11:57:28,demo,assistant,فارسی,3,من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  احساس عشق می‌تواند بسیار شیرین و جذاب باشد، اما همچنین ممکن است حس نگرانی یا تردید را هم به همراه داشته باشد. چه چیزی درباره این احساس برایت جالب است؟  برای تجزیه و تحلیل احساساتت، می‌توانی یک تمرین ساده انجام دهی:  • چند دقیقه وقت بگذار تا در یک دفترچه بنویسی که چه چیزی در این فرد تو را جذب کرده و چه احساسی نسبت به او داری.   • سپس، با چند نفس عمیق، احساساتت را بپذیر و سعی کن فقط در لحظه زندگی کنی.  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-08T11:59:31,demo,user,فارسی,3,خیلی مرا درک میکنه
2025-10-08T11:59:39,demo,assistant,فارسی,3,من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  من همراه رفاه روان هستم و جایگزین درمانگر نیستم. اگر در خطر فوری هستی، با اورژانس تماس بگیر.  اینکه کسی تو را درک کند، حس فوق‌العاده‌ای است و می‌تواند به احساس آرامش و امنیت کمک کند. این ارتباط عاطفی می‌تواند بسیار ارزشمند باشد.  برای تقویت این احساس، می‌توانی یک تمرین سپاسگزاری انجام دهی:  • چند دقیقه وقت بگذار و سه چیزی را که از این فرد و درک او قدردانی می‌کنی، بنویس.   • سپس، به این فکر کن که چگونه می‌توانی این احساس را با او به اشتراک بگذاری و ارتباطتان را عمیق‌تر کنی.   • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-09T08:29:30,demo,assistant,فارسی,,از ۱ تا ۵ الان حالت چطوره؟
2025-10-09T08:29:35,demo,assistant,فارسی,3,تنفس جعبه‌ای (۵ بار): ۴ ثانیه دم، ۴ ثانیه نگه‌دار، ۴ ثانیه بازدم، ۴ ثانیه نگه‌دار. شانه‌ها رها.
2025-10-09T08:29:53,demo,user,فارسی,3,سلام
2025-10-09T08:29:56,demo,assistant,فارسی,3,"سلام! خوشحالم که اینجا هستی. چطور می‌توانم به تو کمک کنم؟  • Box breathing ×5: inhale 4s, hold 4s, exhale 4s, hold 4s."
2025-10-09T08:30:10,demo,user,فارسی,3,میخوام باهات درد و دل کنم
2025-10-09T08:30:12,demo,assistant,فارسی,3,حتما، من اینجا هستم تا بهت گوش بدهم. احساساتت را با من در میان بگذار.  • تنفس جعبه‌ای ×۵: ۴ ثانیه دم، ۴ نگه‌دار، ۴ بازدم، ۴ نگه‌دار.
2025-10-09T11:37:05,demo,assistant,فارسی,,از ۱ تا ۵ الان حالت چطوره؟
2025-10-09T11:37:09,demo,assistant,فارسی,3,تنفس جعبه‌ای (۵ بار): ۴ ثانیه دم، ۴ ثانیه نگه‌دار، ۴ ثانیه بازدم، ۴ ثانیه نگه‌دار. شانه‌ها رها.
2025-10-09T11:37:20,demo,user,فارسی,3,سلام
2025-10-09T11:37:22,demo,assistant,فارسی,3,سلام! چطورید؟ احساسات شما چگونه است؟
2025-10-09T11:37:59,demo,user,فارسی,3,خوبم حس میکنم عاشق شدم
2025-10-09T11:38:01,demo,assistant,فارسی,3,این احساس می‌تواند بسیار زیبا و هیجان‌انگیز باشد! عشق می‌تواند شادی و هیجان زیادی به زندگی بیاورد. برای چند دقیقه، چشمانتان را ببندید و به احساسات و خاطرات مثبت خود فکر کنید. این احساسات را در قلبتان نگه دارید.
2025-10-09T11:38:27,demo,user,فارسی,3,اما حس عشق و اضطراب با هم دارم
2025-10-09T11:38:31,demo,assistant,فارسی,3,درک این دو احساس به هم intertwined می‌تواند گیج‌کننده باشد. عشق و اضطراب می‌توانند در کنار هم وجود داشته باشند. برای آرامش، چند دقیقه در یک مکان آرام بنشینید و به تنفس خود توجه کنید. به آرامی نفس بکشید و سعی کنید هر نگرانی را با هر بازدم رها کنید.
2025-10-09T11:38:59,demo,user,فارسی,3,دلیل این اضطراب چیست
2025-10-09T11:39:03,demo,assistant,فارسی,3,احساس اضطراب در عشق می‌تواند ناشی از ترس از آسیب‌پذیری، نگرانی درباره‌ی آینده یا انتظارات اجتماعی باشد. این احساسات طبیعی هستند و برای بسیاری از افراد پیش می‌آید. برای مدیریت این اضطراب، یک دقیقه وقت بگذارید و احساسات خود را روی کاغذ بنویسید. این کار می‌تواند به شما کمک کند تا بهتر آنها را درک کنید.
2025-10-09T11:39:30,demo,user,فارسی,3,نظرت درباره ی رابطه ی لانگ دیستنس چیست؟
2025-10-09T11:39:31,demo,assistant,فارسی,3,رابطه‌های دوری می‌توانند چالش‌برانگیز و در عین حال زیبا باشند. ارتباط مستمر و اعتماد در این نوع روابط بسیار مهم است. برای تقویت ارتباط، چند دقیقه زمان بگذارید و یک پیام مثبت یا یادداشت برای شریک خود بنویسید. این کار می‌تواند احساس نزدیکی را افزایش دهد.
2025-10-09T11:40:10,demo,user,فارسی,3,چطوری میتونم این رابطه رو بهتر حفظ کنم؟
2025-10-09T11:40:15,demo,assistant,فارسی,3,حفظ یک رابطه دوری نیاز به تلاش و ارتباط مداوم دارد. احساس نزدیکی و محبت را با پیام‌ها، تماس‌های ویدیویی و برنامه‌ریزی ملاقات‌ها تقویت کنید. برای ایجاد پیوند عمیق‌تر، یک دقیقه وقت بگذارید و از طرف خود یک هدف یا آرزو برای رابطه‌تان بنویسید و آن را با شریک‌تان به اشتراک بگذارید. این کار می‌تواند حس مشترک بودن را تقویت کند.
2025-10-09T11:41:16,demo,user,فارسی,3,اگر پارتنر من اجتنابی باشد چه باید کنم ؟
2025-10-09T11:41:19,demo,assistant,فارسی,3,احساس نگرانی در مواجهه با رفتار اجتنابی ممکن است طبیعی باشد. این وضعیت می‌تواند احساس ناامنی و سردرگمی ایجاد کند. برای بهبود ارتباط، یک دقیقه وقت بگذارید و احساسات و نیازهای خود را بدون قضاوت بیان کنید. این کار می‌تواند باعث باز شدن بیشتر گفتگو و درک بهتر شود.
